DisQuantityForWeek,Week
2.4893113783960343,1
2.4760201908331916,2
2.4886274968789013,3
2.399810660629759,4
2.448585787751286,5
2.4418812776693484,6
2.429625555506666,7
2.4855215441606546,8
2.4295379537953794,9
2.461412641125301,10
2.379164046533564,11
2.412618119933718,12
2.3217039106145254,13
2.281198080118147,14
2.2636994390315914,15
2.229826337512655,16
2.2340989399293285,17
2.153591170825336,18
2.166143761967889,19
2.061429471032745,20
2.0798618490967056,21
2.0229892248870347,22
2.01815112276676,23
2.056556530717604,24
2.035337111211282,25
2.0278904723249447,26
2.018258645166475,27
2.0060306093793883,28
2.0455212230506286,29
2.0746862369708574,30
2.0755646901373828,31
2.062108659393541,32
2.0210035422499,33
1.9623745195892848,34
1.94546891624867,35
1.84127018499041,36
1.8226024503591045,37
1.8245135075076986,38
2.032586378364505,39
1.8828877005347595,40
1.9101388590652066,41
1.883294805548001,42
1.9153115062156687,43
1.9903197614641166,44
2.0302523235678693,45
2.0751140757253825,46
2.1147184390656975,47
2.123800671407429,48
2.230741723807417,49
2.2678952991452994,50
2.3694100305992984,51
2.3802040152808264,52
2.3472072494336382,53
2.288508515065115,54
2.277668037354445,55
2.3166444322373074,56
2.3263166339095904,57
2.3046187240468106,58
2.286458894101361,59
2.251952681531266,60
2.227307380373074,61
